մի,один,Числительные и время,LL-Q8785_(hye)-Veravi95-մի.wav.ogg,
մեկ,один,Числительные и время,,
երկու,два,Числительные и время,LL-Q8785_(hye)-Vahagn_Petrosyan-երկու.wav.ogg,
երեք,три,Числительные и время,LL-Q8785_(hye)-Vahagn_Petrosyan-երեք.wav.ogg,
չորս,четыре,Числительные и время,LL-Q8785_(hye)-Vahagn_Petrosyan-չորս.wav.ogg,
հինգ,пять,Числительные и время,LL-Q8785_(hye)-Vahagn_Petrosyan-հինգ.wav.ogg,
վեց,шесть,Числительные и время,LL-Q8785_(hye)-Vahagn_Petrosyan-վեց.wav.ogg,
յոթ,семь,Числительные и время,LL-Q8785_(hye)-Vahagn_Petrosyan-յոթ.wav.ogg,
ութ,восемь,Числительные и время,LL-Q8785_(hye)-Vahagn_Petrosyan-ութ.wav.ogg,
ինը,девять,Числительные и время,LL-Q8785_(hye)-Vahagn_Petrosyan-ինը.wav.ogg,
տասը,десять,Числительные и время,LL-Q8785_(hye)-Vahagn_Petrosyan-տասը.wav.ogg,
քսան,двадцать,Числительные и время,LL-Q8785_(hye)-Vahagn_Petrosyan-քսան.wav.ogg,
երեսուն,тридцать,Числительные и время,LL-Q8785_(hye)-Vahagn_Petrosyan-երեսուն.wav.ogg,
քառասուն,сорок,Числительные и время,LL-Q8785_(hye)-Vahagn_Petrosyan-քառասուն.wav.ogg,
հիսուն,пятьдесят,Числительные и время,LL-Q8785_(hye)-Vahagn_Petrosyan-հիսուն.wav.ogg,
վաթսուն,шестьдесят,Числительные и время,LL-Q8785_(hye)-Vahagn_Petrosyan-վաթսուն.wav.mp3,
յոթանասուն,семьдесят,Числительные и время,LL-Q8785_(hye)-Vahagn_Petrosyan-յոթանասուն.wav.ogg,
ութսուն,восемьдесят,Числительные и время,LL-Q8785_(hye)-Vahagn_Petrosyan-ութսուն.wav.ogg,
իննսուն,девяносто,Числительные и время,LL-Q8785_(hye)-Vahagn_Petrosyan-իննսուն.wav.ogg,
հարյուր,сто,Числительные и время,LL-Q8785_(hye)-Vahagn_Petrosyan-հարյուր.wav.ogg,
հազար,тысяча,Числительные и время,,
կիրակի,воскресенье,Числительные и время,LL-Q8785_(hye)-Vahagn_Petrosyan-կիրակի.wav.ogg,
երկուշաբթի,понедельник,Числительные и время,LL-Q8785_(hye)-Vahagn_Petrosyan-երկուշաբթի.wav.ogg,
երեքշաբթի,вторник,Числительные и время,LL-Q8785_(hye)-Vahagn_Petrosyan-երեքշաբթի.wav.ogg,
